family,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
LINGERIE,2592,0.6244779241313408,0.49617853510631277,0.10069444444444445,0.0,6.959104938271605,5.597509087230409,18038.0,14508.74355410122,-1.361595851041196,0.1882716049382716
GROCERY II,2592,0.6219556775801081,0.4605575359326632,0.016203703703703703,0.0,32.39274691358025,29.46674271404836,83962.0,76377.79711481335,-2.926004199531886,0.42978395061728397
SCHOOL AND OFFICE SUPPLIES,2592,0.5926387637190175,0.4002711850196685,0.5513117283950617,0.016589506172839507,22.792824074074073,11.412871857055459,59079.0,29582.16385348775,-11.379952217018614,0.8499228395061729
CELEBRATION,2592,0.5657395725699185,0.4314156261714748,0.021219135802469136,0.0,13.373842592592593,11.539966636679821,34665.0,29911.5935222741,-1.8338759559127709,0.020833333333333332
HARDWARE,2592,0.5299348625298876,0.4402011594281137,0.38425925925925924,0.0,1.4814814814814814,1.121288794675197,3840.0,2906.380555798111,-0.36019268680628436,0.0015432098765432098
MAGAZINES,2592,0.5270384358271979,0.4245509608365977,0.1554783950617284,0.0,6.474537037037037,5.4152965073639265,16782.0,14036.448547087299,-1.0592405296731098,0.002700617283950617
AUTOMOTIVE,2592,0.5055427589111408,0.39592456453915514,0.032407407407407406,0.0,7.285108024691358,6.149794646855642,18883.0,15940.267724649824,-1.135313377835716,0.03665123456790124
LADIESWEAR,2592,0.5023310546879334,0.3763423149611183,0.29282407407407407,0.004243827160493827,11.266203703703704,10.720300537588177,29202.0,27787.01899342855,-0.5459031661155282,0.2029320987654321
"LIQUOR,WINE,BEER",2592,0.4975598340741779,0.35745683295025743,0.0007716049382716049,0.0,97.36574074074075,90.19490524824528,252372.0,233785.19440345175,-7.1708354924954625,2.885030864197531
SEAFOOD,2592,0.47570651963363514,0.35719095819241703,0.08449074074074074,0.0,20.549881567476852,18.929465066406937,53265.2930229,49065.17345212678,-1.6204165010699163,0.6361882716049383
PLAYERS AND ELECTRONICS,2592,0.47255687924764656,0.3648122222441132,0.033179012345679014,0.0,11.660108024691358,10.439111433274192,30223.0,27058.176835046706,-1.2209965914171657,0.04398148148148148
PET SUPPLIES,2592,0.47209167460285456,0.37076424154753135,0.1099537037037037,0.0,8.770447530864198,8.233662644278171,22733.0,21341.65357396902,-0.5367848865860271,0.021604938271604937
BEAUTY,2592,0.46716003230946834,0.3702895338843927,0.10455246913580248,0.0,6.016589506172839,5.265849632107718,15595.0,13649.082246423206,-0.7507398740651213,0.6766975308641975
HOME AND KITCHEN I,2592,0.4523405658896729,0.3417910331904253,0.0007716049382716049,0.0,31.487654320987655,30.289166049411033,81616.0,78509.5184000734,-1.1984882715766205,2.888503086419753
HOME AND KITCHEN II,2592,0.4450757240055342,0.3283134461573115,0.0007716049382716049,0.0,30.587577160493826,27.466477635549467,79283.0,71193.11003134421,-3.1210995249443623,0.7064043209876543
LAWN AND GARDEN,2592,0.4140627859982074,0.30848830596003474,0.28742283950617287,0.005787037037037037,16.048225308641975,15.262488641149808,41597.0,39560.370557860304,-0.7857366674921673,0.5027006172839507
HOME APPLIANCES,2592,0.38775584009899355,0.336991539428492,0.7662037037037037,0.0011574074074074073,0.33217592592592593,0.43828970308156934,861.0,1136.0469103874277,0.10611377715564344,0.006558641975308642
CLEANING,2592,0.32338342049867164,0.2099861839022991,0.0,0.0,1311.5478395061727,1310.4629649473125,3399532.0,3396720.005143434,-1.0848745588604591,23.791666666666668
BABY CARE,2592,0.3171658121246541,0.2609491590593934,0.8738425925925926,0.01273148148148148,0.2010030864197531,0.2822236858452478,521.0,731.5237937108823,0.0812205994254947,0.0007716049382716049
EGGS,2592,0.30807638350761113,0.21477960655283734,0.0,0.0,199.38695987654322,191.65124101270024,516811.0,496760.016704919,-7.735718863842974,3.627314814814815
FROZEN FOODS,2592,0.2822147244625079,0.21061389424649432,0.0,0.0,131.76311072723766,130.26430971239242,341529.983005,337645.0907745211,-1.49880101484525,1.7465277777777777
PREPARED FOODS,2592,0.2763410565297218,0.20631874271707848,0.0,0.0,89.44219134953704,87.84625059395538,231834.159978,227697.48153953234,-1.5959407555816605,0.19753086419753085
HOME CARE,2592,0.22090440542421624,0.16711972780685116,0.0,0.0,318.0783179012346,317.88538191891854,824459.0,823958.9099338369,-0.1929359823160192,10.282407407407407
PERSONAL CARE,2592,0.2204288236183543,0.16007051329845134,0.0,0.0,317.9332561728395,309.8626885264507,824083.0,803164.0886605602,-8.070567646388792,7.035108024691358
BOOKS,2592,0.2154428538680823,0.19855655121703433,0.9810956790123457,0.015817901234567902,0.02199074074074074,0.21625665698165603,57.0,560.5372548964524,0.19426591624091527,0.0
BEVERAGES,2592,0.2132956176390175,0.152906687628888,0.0,0.0,3595.8996913580245,3560.5937241124043,9320572.0,9229058.932899352,-35.30596724562015,28.673996913580247
MEATS,2592,0.20794657212592263,0.15376089562890297,0.0,0.0,381.9731280385802,370.73954009598333,990074.347876,960956.8879287888,-11.233587942596925,4.835262345679013
POULTRY,2592,0.20574292525044138,0.152414792376756,0.0,0.0,393.0142862010031,384.9545459238739,1018693.029833,997802.1830346812,-8.059740277129167,4.116512345679013
DELI,2592,0.17729854657665148,0.13607826867748266,0.0,0.0,316.5109456049383,324.5936230833512,820396.371008,841346.6710320463,8.08267747841293,15.152777777777779
BREAD/BAKERY,2592,0.16876645916081023,0.12742364317516697,0.0,0.0,547.0781936766975,550.8052208628626,1418026.67801,1427687.1324765398,3.7270271861650506,9.839891975308642
DAIRY,2592,0.15440818353848063,0.12075098397912151,0.0,0.0,871.875,937.5853625323383,2259900.0,2430221.259683821,65.71036253233825,25.29861111111111
PRODUCE,2592,0.15148316807432124,0.11440921176384336,0.0,0.0,2340.521011566358,2453.955709525597,6066630.46198,6360653.199090347,113.43469795923855,28.665895061728396
GROCERY I,2592,0.1501588806354514,0.11239695847536649,0.0,0.0,4630.697964506173,4638.83822775594,12002769.124,12023868.686343398,8.140263249768006,58.523533950617285
